title,link,source,date,label
"SciCheck's COVID-19/Vaccination Project
Preempting and exposing vaccination and COVID-19 misinformation.",https://www.factcheck.org/covid-misconceptions/,FactCheck,2025-03-26,unknown
"Proyecto de Vacunación/COVID-19
Precaviendo y exponiendo la desinformación sobre el COVID-19 y sus vacunas",https://www.factcheck.org/es/covid-misconceptions/,FactCheck,2025-03-26,unknown
"SciCheck
Fact-checking science-based claims.",https://www.factcheck.org/scicheck/,FactCheck,2025-03-26,unknown
"Facebook Initiative
Debunking viral claims.",https://www.factcheck.org/fake-news/,FactCheck,2025-03-26,unknown
"Players Guide 2024
The special interest groups behind the TV ads.",https://www.factcheck.org/players-guide/2024/,FactCheck,2025-03-26,unknown
"Viral Spiral
Don’t get spun by internet rumors.",https://www.factcheck.org/hot-topics/,FactCheck,2025-03-26,unknown
"Sign Up
Get free email alerts.",https://www.factcheck.org/subscribe,FactCheck,2025-03-26,unknown
"Mailbag
Letters from our readers.",https://www.factcheck.org/factcheck-mailbag/,FactCheck,2025-03-26,unknown
"On the Air
Our staff on TV and radio.",https://www.factcheck.org/on-the-air,FactCheck,2025-03-26,unknown
"NewsFeed Defenders
A media literacy game to detect misinformation.",https://www.factcheck.org/newsfeed-defenders/,FactCheck,2025-03-26,unknown
Archives,https://www.factcheck.org/archives/,FactCheck,2025-03-26,unknown
Privacy,https://www.factcheck.org/privacy/,FactCheck,2025-03-26,unknown
Copyright Policy,https://www.factcheck.org/copyright-policy/,FactCheck,2025-03-26,unknown
Report Accessibility Issues and Get Help,https://accessibility.web-resources.upenn.edu/get-help,FactCheck,2025-03-26,unknown
